actorLabel,image
Arnold Schwarzenegger,http://commons.wikimedia.org/wiki/Special:FilePath/Arnold%20Schwarzenegger%20by%20Gage%20Skidmore%204.jpg
Michael Jackson,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Jackson%20Dangerous%20World%20Tour%201993.jpg
Taylor Swift,http://commons.wikimedia.org/wiki/Special:FilePath/191125%20Taylor%20Swift%20at%20the%202019%20American%20Music%20Awards%20%28cropped%29.png
Bob Dylan,http://commons.wikimedia.org/wiki/Special:FilePath/Joan%20Baez%20Bob%20Dylan%20crop.jpg
Donald Trump,http://commons.wikimedia.org/wiki/Special:FilePath/Donald%20Trump%20official%20portrait.jpg
Paul McCartney,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20McCartney%20in%20October%202018.jpg
Ronald Reagan,http://commons.wikimedia.org/wiki/Special:FilePath/Official%20Portrait%20of%20President%20Reagan%201981.jpg
Britney Spears,http://commons.wikimedia.org/wiki/Special:FilePath/Britney%20Spears%202013%20%28Straighten%20Crop%29.jpg
Selena Gomez,http://commons.wikimedia.org/wiki/Special:FilePath/Selena%20Gomez%20at%20White%20House.jpg
Robin Williams,http://commons.wikimedia.org/wiki/Special:FilePath/Robin%20Williams%202011a%20%282%29.jpg
Bruce Lee,http://commons.wikimedia.org/wiki/Special:FilePath/Bruce%20Lee%201973.jpg
Steven Spielberg,http://commons.wikimedia.org/wiki/Special:FilePath/MKr25402%20Steven%20Spielberg%20%28Berlinale%202023%29.jpg
Sean Connery,http://commons.wikimedia.org/wiki/Special:FilePath/Sean%20Connery%20%281983%29.jpg
Angelina Jolie,http://commons.wikimedia.org/wiki/Special:FilePath/Angelina%20Jolie%202%20June%202014%20%28cropped%29.jpg
Marilyn Monroe,http://commons.wikimedia.org/wiki/Special:FilePath/Marilyn%20Monroe%20in%20How%20to%20Marry%20a%20Millionaire.jpg
Madonna,http://commons.wikimedia.org/wiki/Special:FilePath/Madonna%20Rebel%20Heart%20Tour%202015%20-%20Stockholm%20%2823051472299%29%20%28cropped%29.jpg
Bradley Cooper,http://commons.wikimedia.org/wiki/Special:FilePath/Glasto17-44%20%2835547413626%29%20Cropped.jpg
Johnny Depp,http://commons.wikimedia.org/wiki/Special:FilePath/Johnny%20Depp%202020.jpg
Leonardo DiCaprio,http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20Dicaprio%20Cannes%202019.jpg
Scarlett Johansson,http://commons.wikimedia.org/wiki/Special:FilePath/Scarlett%20Johansson%20by%20Gage%20Skidmore%202%20%28cropped%29.jpg
Emma Watson,http://commons.wikimedia.org/wiki/Special:FilePath/Emma%20Watson%202013.jpg
