itemLabel,image
Goofy,http://commons.wikimedia.org/wiki/Special:FilePath/Robin%20dippy%20figurita.jpg
Draco Malfoy,http://commons.wikimedia.org/wiki/Special:FilePath/Draco%20Malfoy%20fanart%20-%20Cor-Sa.jpg
Aragorn,http://commons.wikimedia.org/wiki/Special:FilePath/Aragorn.png
Ron Weasley,http://commons.wikimedia.org/wiki/Special:FilePath/Ron%20Weasley.jpg
Wonder Woman,http://commons.wikimedia.org/wiki/Special:FilePath/Lynda%20Carter%20Wonder%20Woman.JPG
Wolverine,http://commons.wikimedia.org/wiki/Special:FilePath/Wolverine%20%287343567212%29%20%28retouched%29.jpg
Joker,http://commons.wikimedia.org/wiki/Special:FilePath/Joker%20art%20dream%20a.i.jpg
Severus Snape,http://commons.wikimedia.org/wiki/Special:FilePath/S.%20Snape.jpg
Cain and Abel,http://commons.wikimedia.org/wiki/Special:FilePath/Cain%20leadeth%20abel%20to%20death%20tissot.jpg
Harry Potter,http://commons.wikimedia.org/wiki/Special:FilePath/Harry%20Potter.jpg
Catwoman,http://commons.wikimedia.org/wiki/Special:FilePath/Eartha%20Kitt%20Catwoman%20debut%201967.jpg
Godzilla,http://commons.wikimedia.org/wiki/Special:FilePath/Godzilla%20%281954%29.jpg
Albus Dumbledore,http://commons.wikimedia.org/wiki/Special:FilePath/Albus-DII%201.1.jpg
Luke Skywalker,http://commons.wikimedia.org/wiki/Special:FilePath/Luke%20Skywalker%20-%20Welcome%20Banner%20%28Cropped%29.jpg
Hulk,http://commons.wikimedia.org/wiki/Special:FilePath/Hulk%20%282540708438%29.jpg
Deadpool,http://commons.wikimedia.org/wiki/Special:FilePath/Deadpool%2C%20Georgia%20Viaduct%2C%20Vancouver%2C%20April%206%202015%20-%203.jpg
Hermione Granger,http://commons.wikimedia.org/wiki/Special:FilePath/Hermione%20Granger.jpg
Captain America,http://commons.wikimedia.org/wiki/Special:FilePath/Chris%20Evans%20as%20Steve%20Rogers%20aka%20Captain%20America%20%2834407349161%29.jpg
Indiana Jones,http://commons.wikimedia.org/wiki/Special:FilePath/Indianajones4.jpg
Gandalf,http://commons.wikimedia.org/wiki/Special:FilePath/GANDALF.jpg
Frodo Baggins,http://commons.wikimedia.org/wiki/Special:FilePath/Frodo%20by%20Mark%20Ferrari.jpg
Mario,http://commons.wikimedia.org/wiki/Special:FilePath/Mario%20Kart%20Wii%20promo%20event%2C%20NYC%2C%204%2024%2008%20-%2015%20of%2016%20%282439800410%29.jpg
Santa Claus,http://commons.wikimedia.org/wiki/Special:FilePath/20121123%20SantaClaus-Chicago.JPG
Sherlock Holmes,http://commons.wikimedia.org/wiki/Special:FilePath/Statue%20of%20Sherlock%20Holmes%20in%20Edinburgh.jpg
Pinocchio,http://commons.wikimedia.org/wiki/Special:FilePath/Pinocchio.jpg
Yoda,http://commons.wikimedia.org/wiki/Special:FilePath/Yoda%20Fountain%20%2829224550842%29.jpg
Darth Vader,http://commons.wikimedia.org/wiki/Special:FilePath/Star%20Wars%20-%20Darth%20Vader.jpg
